From Date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,sp,t2m,i10fg,tp
2018-01-01,481.62,619,80.43,89.52,289.06,115.81,21.63,3.38,27.43,10.6,22.05,98761.76588,285.14245,3.176236321,-2E-10
2018-01-02,359.67,470.33,64.06,83.81,240.51,78.95,23.5,3.63,33.64,8.94,23.47,98843.75025,284.6226875,3.360764,-2E-10
2018-01-03,287.71,488.92,67.96,86.46,270.51,72.81,20.49,1.82,28.9,7.33,14.9,98883.18858,283.9763158,3.740763679,-2E-10
2018-01-04,351.62,555.96,66.3,92.6,190.49,72.87,21.87,1.15,35.19,8.35,21.88,98877.43188,284.62635,3.010340992,-2E-10
2018-01-05,306.25,416.21,43.4,81.87,199.78,62.04,21.62,2.03,28.93,7.61,21.68,98803.71804,284.9314938,2.792368886,-2E-10
2018-01-06,324.75,595.17,88.64,123.85,433.46,94.99,22.36,3.55,22.31,10.59,22.05,98756.06771,284.6744429,3.728511371,-2E-10
2018-01-07,242.08,466.5,88.58,104.15,322.68,87.33,21.57,2.72,15.38,6.74,12.17,98841.05458,285.4548508,5.275188588,-2E-10
2018-01-08,175.05,422.59,92.48,127.82,493.51,84.3,23.48,3.23,15.21,7.07,13.76,99069.41388,284.8013492,4.452271558,-2E-10
2018-01-09,375.22,433.52,91.12,138.44,702.86,114.02,23.48,3.55,16.32,10.22,21.24,99217.30504,285.1321796,4.584581229,-2E-10
2018-01-10,245.79,483.12,89.05,108.89,295.24,77.56,22.99,2.73,18.2,5.65,11.02,99133.58858,286.747745,6.410313208,-2E-10
2018-01-11,203.12,419.17,78.78,106.34,308.65,88.39,23.31,4.47,19.62,6.4,11.64,98981.52708,287.4495904,6.481248425,-2E-10
2018-01-12,231.46,444.74,78.73,127.68,430.72,95.35,30.28,2.32,21.1,7.21,15.18,98927.81363,287.4586325,4.866364971,-2E-10
2018-01-13,388.08,502.58,70.87,138.17,801.26,118.6,24.98,4.66,20.06,12.72,31.34,98922.66688,286.4217317,4.310400983,-2E-10
2018-01-14,302.62,562.89,72.23,122.85,535.93,86.04,24.83,2.49,22.32,8.68,16.89,98952.28925,286.6841021,4.615183746,-2E-10
2018-01-15,240.96,515.83,83.77,101.49,322.61,78.1,20.95,1.84,21.87,5.68,11.32,98893.82817,287.0211625,5.740907338,-2E-10
2018-01-16,164.95,289.67,65.47,112.71,463.79,66.97,27.99,2.05,26.2,6,20.94,98689.46258,287.6597713,4.233358363,-2E-10
2018-01-17,294.38,402.21,49.81,72.23,169.44,88.01,17.61,1.2,23.55,6.86,26.05,98831.8945,287.2729863,4.403817654,-2E-10
2018-01-18,451.83,627.43,57.51,143.52,208.33,107.58,33.11,3.9,24.85,11.37,35.99,98858.499,288.869885,3.189241329,-2E-10
2018-01-19,409.32,525.36,85.63,149.9,309.82,150.06,21.69,2.34,21.02,8.81,20.42,98949.20192,288.5458588,4.715121683,-2E-10
2018-01-20,235.55,346.73,74.49,109.46,272.46,118.31,22.79,1.52,18.53,4.38,7.71,98802.85462,286.9834908,5.173999058,-2E-10
2018-01-21,183.85,390.09,50.25,158.76,328.75,84.37,34.09,2.67,59.94,5.82,23.62,98775.86446,287.39514,2.779570735,-2E-10
2018-01-22,247.94,493.14,68.71,122.84,196.03,118.45,29.78,2.9,48.28,7.35,19.14,98589.57417,288.1700475,4.249638292,-2E-10
2018-01-23,196.4,322.72,50.92,86.8,151.57,87.94,24.86,2.09,18.71,4.31,16.71,98409.07963,286.3629388,4.979373988,0.000515844
2018-01-24,162.97,239.81,76.92,72.06,215.04,65.33,25.29,2.08,22.81,3.77,10.94,98712.69783,285.8094154,4.311426717,1.99E-07
2018-01-25,76.21,132.27,97.37,363.16,94.09,29.87,10.92,10.11,18.24,1.8,5.83454545454546,98645.05642,285.9119621,4.977482513,-2E-10
2018-01-26,191.67,287.04,58.46,80.82,119.83,53.83,16.85,2.61,13.67,2.23,7.17909090909091,98722.14796,285.4773025,4.0313838,-2E-10
2018-01-27,223.46,412.38,74.36,181.77,106.68,39.67,15.08,3.51,9.1,2.66,8.52363636363636,98723.11188,285.1703042,3.9899782,-2E-10
2018-01-28,235.79,396.29,77.6,158.11,131.49,48.52,15.77,2.99,8.1,3.09,9.86818181818182,98828.54167,285.8530896,4.265061771,-2E-10
2018-01-29,242.21,434.71,84.24,303.2,114.13,33.69,12.75,3.74,3.7,3.52,11.2127272727273,98962.61013,287.4889183,5.042686933,-2E-10
2018-01-30,134.25,299.08,68.67,145.51,118.26,45.87,18.55,3.67,13.01,3.95,12.5572727272727,98852.56475,290.3880517,8.138478625,-2E-10
2018-01-31,144,316,72.09,154.39,104.69,40.18,14.99,5.16,22.32,4.38,13.9018181818182,98795.10325,290.5874625,7.519719279,-2E-10
2018-02-01,193.92,448.75,109.16,336.89,117.14,40.08,13.67,4.09,31.63,4.81,15.2463636363636,98760.32396,290.7730817,4.483118704,-2E-10
2018-02-02,129.08,331.54,85.86,232.83,131.3,46.6,16.41,2.28,5.2,5.24,16.5909090909091,98629.51138,290.4554833,4.014708671,-2E-10
